period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units
2020-07,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,320.19,megawatthours
2020-05,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,318.66,megawatthours
2020-08,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,260.96,megawatthours
2020-01,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,152.16,megawatthours
2019-06,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,331.8,megawatthours
2019-12,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,117.52,megawatthours
2019-10,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,259.41,megawatthours
2019-05,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,294.98,megawatthours
2019-04,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,277.08,megawatthours
2019-03,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,235.36,megawatthours
2020-02,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,160.28,megawatthours
2020-09,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,254.32,megawatthours
2018-07,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,308.77,megawatthours
2018-10,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,220.94,megawatthours
2018-06,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,354.25,megawatthours
2018-02,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,182.53,megawatthours
2018-03,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,236.03,megawatthours
2018-04,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,286.05,megawatthours
2018-05,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,329.64,megawatthours
2019-11,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,161.23,megawatthours
2020-12,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,124.77,megawatthours
2014-05,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,284.71,megawatthours
2020-03,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,245.55,megawatthours
2020-11,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,165.13,megawatthours
2019-02,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,157.99,megawatthours
2018-12,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,131.87,megawatthours
