GEOID,year,month,smoke_days,total_pm
04013723305,2014,01,2,0.09208194
04013723305,2014,02,2,0.11016027
04013723305,2014,03,1,0.0003011879
04013723305,2014,05,2,2.04425602
04013723305,2014,07,1,0.00840228
04013723305,2015,01,1,0.004468852
04013723305,2015,04,2,3.2594204
04013723305,2015,06,5,9.9537628
04013723305,2015,08,1,2.669132
04013723305,2015,12,2,0.12162486
04013723305,2016,02,1,0.03933994
04013723305,2016,03,1,1.023418
04013723305,2016,05,2,0.70865627
04013723305,2016,06,6,13.836004443
04013723305,2016,08,5,14.420736
04013723305,2017,01,1,0.002877182
04013723305,2017,06,5,18.421561
04013723305,2017,08,2,6.859625
04013723305,2017,09,2,12.502919
