period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units,sector,entityid,entityName,balancing_authority_code,balancing.authority.name,status,gen_cap,operating.year.month,geometry,intersection,geoid,long,lat
2019-02,62243,Oak Leaf Solar XXI (CSG),SUN,Solar,CO,Colorado,PV,202.11,megawatthours,ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,PSCO,Public Service Company of Colorado,OP,1.5,2018-12,-104.604|39.638,10080,08005007106,-104.604,39.638
2019-02,62244,Oak Leaf Solar XXXI LLC (CSG),SUN,Solar,CO,Colorado,PV,198.77,megawatthours,ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,PSCO,Public Service Company of Colorado,OP,1.5,2018-12,-108.32|39.145,9913,08077001800,-108.32,39.145
2019-02,62245,Oak Leaf Solar XXV LLC (CSG),SUN,Solar,CO,Colorado,PV,158.92,megawatthours,ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,PSCO,Public Service Company of Colorado,OP,1.5,2018-12,-104.529|39.637,10080,08005007106,-104.529,39.637
2020-02,62251,Oak Leaf Solar XXXII (CSG),SUN,Solar,CO,Colorado,PV,215.29,megawatthours,ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,PSCO,Public Service Company of Colorado,OP,1.5,2019-03,-107.815|39.523,9788,08045952002,-107.815,39.523
2019-02,62252,Oak Leaf Solar XXII LLC (CSG),SUN,Solar,CO,Colorado,PV,155.69,megawatthours,ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,PSCO,Public Service Company of Colorado,OP,1.5,2019-01,-104.6848|39.904373,10149,08031980000,-104.6848,39.904373
2019-02,62253,Oak Leaf Solar XXIV LLC (CSG),SUN,Solar,CO,Colorado,PV,155.47,megawatthours,ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,PSCO,Public Service Company of Colorado,OP,1.5,2019-01,-104.561|39.637,10080,08005007106,-104.561,39.637
2019-02,62254,Oak Leaf Solar XXVI LLC,SUN,Solar,CO,Colorado,PV,157.17,megawatthours,ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,PSCO,Public Service Company of Colorado,OP,1.5,2019-01,-104.659|39.899,10149,08031980000,-104.659,39.899
2020-02,62255,Oak Leaf Solar XXVIII LLC (CSG),SUN,Solar,CO,Colorado,PV,206.4,megawatthours,ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,PSCO,Public Service Company of Colorado,OP,1.5,2019-06,-104.779|40.237,10551,08123001800,-104.779,40.237
2019-02,62256,Oak Leaf Solar XXIII LLC (CSG),SUN,Solar,CO,Colorado,PV,161.66,megawatthours,ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,PSCO,Public Service Company of Colorado,OP,1.5,2019-01,-104.62146|39.80165,10256,08001008401,-104.62146,39.80165
2018-01,62260,Trout Creek Solar,SUN,Solar,CO,Colorado,PV,0,megawatthours,ipp-non-chp,60571,AEP Onsite Partners,PSCO,Public Service Company of Colorado,OP,2,2019-01,-106.1104|38.8151,9617,08015000402,-106.1104,38.8151
